SN,District,Local Level Name,Total family number,Total household number,population,Total Male,Total Female
303,Sindhupalchok,Chautara SangachokGadhi Municipality,11936,11111,42962,20356,22606
304,Sindhupalchok,Helambu Rural Municipality,4755,4589,17723,8907,8816
305,Sindhupalchok,Indrawati Rural Municipality,6812,6584,25518,12114,13404
306,Sindhupalchok,Jugal Rural Municipality,4698,4549,19148,9657,9491
307,Sindhupalchok,Lisangkhu Pakhar Rural Municipality,3746,3605,11560,5713,5847
308,Sindhupalchok,Melamchi Municipality,11349,10811,41170,20073,21097
309,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,5917,5634,20978,10596,10382
310,Sindhupalchok,Sunkoshi Rural Municipality,4597,4509,15307,7376,7931
311,Sindhupalchok,Tripurasundari Rural Municipality,3653,3551,12194,5972,6222
312,Kavrepalanchok,Banepa Municipality,16973,12545,67629,33180,34449
313,Kavrepalanchok,Bethanchowk Rural Municipality,3900,3730,14996,7229,7767
314,Kavrepalanchok,Bhumlu Rural Municipality,4524,4407,15858,7607,8251
315,Kavrepalanchok,Chaurideurali Rural Municipality,4181,4084,14106,6668,7438
316,Kavrepalanchok,Dhulikhel Municipality,8808,7309,36183,18501,17682
317,Kavrepalanchok,Khanikhola Rural Municipality,2484,2455,12375,6131,6244
318,Kavrepalanchok,Mahabharat Rural Municipality,3327,3297,16148,7933,8215
319,Kavrepalanchok,Mandandeupur Municipality,8220,7861,31261,15335,15926
320,Kavrepalanchok,Namobuddha Municipality,7406,6988,26280,12579,13701
321,Kavrepalanchok,Panauti Municipality,12986,11555,52078,25457,26621
322,Kavrepalanchok,Panchkhal Municipality,9295,8783,35992,17471,18521
323,Kavrepalanchok,Roshi Rural Municipality,6148,6039,23551,11458,12093
324,Kavrepalanchok,Temal Rural Municipality,4930,4872,16959,8197,8762
325,Lalitpur,Bagmati Rural Municipality,2800,2735,11196,5637,5559
326,Lalitpur,Godawari Municipality,24771,20966,100972,49707,51265
327,Lalitpur,Konjyosom Rural Municipality,2176,2148,9042,4499,4543
328,Lalitpur,Lalitpur Metropolitian City,77872,49044,299843,150702,149141
